,time,price,fees,treasury,entry_fee_income,exit_fee_income,LA_exposure,LA_position,funding_payments,bull,liquidations,exits
91,2019-08-07,1.15,133230.01686611684,36418256.65165297,54708.10832977472,98506.41106625966,8878788.557403654,66435977.178304486,253031.89094391852,False,25.0,88.0
92,2019-08-08,1.11,165286.90383304836,36339897.15540648,57451.62404876947,126016.83920591424,8040295.923183037,61622099.520353355,243646.4000795369,False,51.0,91.0
93,2019-08-09,1.2,167169.67033653663,37368194.68652731,55959.1640063722,144644.44039747174,7723352.687281957,59800545.88779805,861127.8607842918,True,0.0,120.0
94,2019-08-10,1.21,144469.3252176721,38358132.939734675,54928.0873540659,119879.79615931732,7727036.219819907,58227887.60259604,845468.9279896946,True,0.0,101.0
95,2019-08-11,1.13,124721.68085411968,38221940.8662612,60550.63869153991,80384.86067361532,7994592.983506592,63386166.70399173,260913.754327592,False,2.0,78.0
96,2019-08-12,1.28,151482.884753144,39391819.60502367,55248.68261726005,138649.4098667643,8240459.44976658,66301813.41206518,1018395.8540093213,True,0.0,104.0
97,2019-08-13,1.28,109912.87754426902,39198359.17710181,61623.73748820747,79064.7457684569,9504662.059235893,74931252.71049449,303373.30546612176,False,0.0,52.0
98,2019-08-14,1.39,179011.34941448233,40610908.50156688,69194.74881563656,179631.02687049386,9427633.592778742,73953116.01022692,1233537.975050585,True,0.0,126.0
99,2019-08-15,1.3,141856.55941507535,40434893.49350629,66739.59261090704,117673.93462869088,8896021.361319706,72204256.02567449,317871.56747565925,False,3.0,96.0
100,2019-08-16,1.32,157198.35773159636,41691884.01000013,62331.84646184236,145169.98574386485,8516654.846879605,69431323.15418223,1099792.1587622464,True,0.0,115.0
101,2019-08-17,1.3,128099.36860216584,41493787.5082492,61754.40189196589,104774.77729084971,9052718.068499118,71982030.81193769,326195.8703530979,False,0.0,76.0
102,2019-08-18,1.31,169535.5013133163,42694536.34711553,61914.00496685969,160177.5017535847,8215531.466367079,65598812.82143865,1031213.3375530157,True,0.0,119.0
103,2019-08-19,1.28,120868.14804545237,42486582.18863814,61390.50195122517,93320.72754695386,8759155.973943029,69850510.15808098,328822.3065228363,False,2.0,84.0
104,2019-08-20,1.31,127818.74066720917,43737438.781464435,55731.103995534664,111711.44627850938,9073491.937110368,71440066.93123922,1123037.8521590808,True,0.0,85.0
105,2019-08-21,1.26,123689.32198234613,43529537.97498472,56889.858737333016,98958.68696042309,8779732.039145142,71654027.47694772,331590.1284620577,False,3.0,100.0
106,2019-08-22,1.29,176905.14754683027,44735830.3347897,64266.24007235069,163941.40026306035,8044751.350625832,66497881.92882101,1029387.2122581493,True,0.0,134.0
107,2019-08-23,1.22,136406.789827291,44543772.3488648,58032.46822759895,108383.81536169608,7919851.261271652,64463469.95521128,328464.7757521964,False,8.0,87.0
108,2019-08-24,1.18,152514.26247440197,44379836.902130924,57254.03058181147,122712.79913798283,8058883.222610267,60611621.61951683,316449.7092082816,False,41.0,80.0
109,2019-08-25,1.17,126978.78854354353,44194377.84452593,61598.100112615466,86967.08248333045,8691091.567602942,67839228.283947,312437.8461485348,False,6.0,80.0
110,2019-08-26,1.23,159530.6252097169,45379403.17192079,62389.62470324023,133833.04430471157,8735417.923543045,69477960.85265154,1025494.702185137,True,0.0,108.0
111,2019-08-27,1.17,117687.88972494294,45177701.48239298,56532.51091857636,81162.32005960686,9105397.923273694,72905608.6497047,319389.579252753,False,0.0,76.0
112,2019-08-28,1.16,133128.77383679882,44995466.877646424,57454.58699372005,96974.79065696658,9640832.023148328,76147652.61067356,315363.3785833593,False,10.0,78.0
113,2019-08-29,1.14,140830.14739462064,44827564.75338976,55207.98447461056,105338.38355525695,9895634.854998458,75948267.61727238,308732.2716512807,False,6.0,90.0
114,2019-08-30,1.15,145561.73324348684,45982428.504626796,50467.79632292069,116928.19690708916,9173315.823603038,73137827.39083683,1009302.0179935484,True,0.0,112.0
115,2019-08-31,1.17,141525.92462469873,47164248.296144515,54704.04625031668,110881.28556058081,9147555.16295049,74095004.76446053,1040293.8668930262,True,0.0,105.0
116,2019-09-01,1.17,106413.63730788071,46938821.88667956,52503.58971519704,72000.36593502336,10090735.405272452,81147742.6908218,331840.04677283583,False,0.0,66.0
117,2019-09-02,1.16,143238.0223914428,46754368.77210387,66378.08875900679,99778.01721506682,10575862.254166,87561534.37472865,327691.1369671342,False,0.0,94.0
118,2019-09-03,1.15,142163.89707999752,46572946.593766496,58036.54793961725,105451.9337023799,10866451.37540993,89115641.86046964,323586.0754173687,False,0.0,96.0
119,2019-09-04,1.23,209840.13254165841,47965155.587777026,61092.18727355335,197011.17575268648,9884484.929282542,80106291.42743042,1182368.8614688732,True,0.0,147.0
120,2019-09-05,1.17,139008.88565708286,47766473.238830596,60068.048244618505,102572.34797416843,9841193.999660876,79951605.17225564,337691.23460350744,False,0.0,82.0
121,2019-09-06,1.16,140627.44524094876,47573667.26331041,49273.85058466537,113853.98589483516,9114206.453604382,75969489.85969433,333433.42076113797,False,0.0,99.0
122,2019-09-07,1.13,139192.74209459938,47389366.81456836,57452.12046102655,99835.67810587073,9116655.059222251,77338514.50910634,323493.19083664595,False,4.0,95.0
123,2019-09-08,1.16,129630.87923981028,48631119.9304549,50900.5049608644,99471.31495731552,9868873.769525522,79893838.83956382,1112122.2366467284,True,0.0,82.0
124,2019-09-09,1.15,153280.08971845286,48447787.66003416,56755.42159843637,119516.68157778439,9810964.519399602,77899481.81023896,336612.36013919616,False,0.0,112.0
125,2019-09-10,1.11,131473.41574710858,48255723.19701656,50381.612445968094,95553.87903332243,9730078.938139461,76363210.71112174,323537.87876470323,False,3.0,94.0
126,2019-09-11,1.09,151542.40691270094,48090682.08687956,48254.19295908734,116927.03057575671,9290986.168375107,70304121.62443566,316583.51704969734,False,6.0,107.0
127,2019-09-12,1.06,153993.0746238136,47937839.027476214,50426.105271692926,112806.55382954949,8881259.875988312,65549725.21355056,306836.13402716146,False,15.0,107.0
128,2019-09-13,1.06,85006.31942190915,47717420.050491855,48125.75108851774,41980.947498705966,10642290.09416294,78349384.3357981,305425.2964062721,False,0.0,47.0
129,2019-09-14,1.05,143956.1219157331,47559849.502521425,50813.336763528256,100340.5912479915,10369419.536636699,77916449.26699877,301526.6698861678,False,4.0,109.0
130,2019-09-15,1.06,110436.5357208724,48755844.86338422,48467.8614194938,68594.86644463097,11311111.744860105,85342674.93254127,1085558.8251419251,True,0.0,78.0
131,2019-09-16,1.04,162003.21874680754,48612600.71009853,52501.72672713552,115981.62076954432,10577679.829421539,81093453.25516076,305247.37203249766,False,4.0,119.0
132,2019-09-17,1.0,155252.92574288428,48475246.514026366,45634.253145846116,109618.67259703818,9722068.873751491,73386932.70747194,292607.1218150485,False,8.0,103.0
133,2019-09-18,1.04,147173.6376405476,49521654.46423888,45101.3761126284,107959.2070335411,9505990.625917602,72054031.45608708,899234.312571967,True,0.0,108.0
134,2019-09-19,1.04,85927.96563789349,49298031.115514345,48991.168255006814,40373.91600840242,11065174.67620831,85902209.46128209,309551.31436243106,False,0.0,46.0
135,2019-09-20,0.99,144259.43179511937,49148603.34145845,44645.62597244466,98171.2115047235,10393072.31912844,79529881.51461314,293687.2058510182,False,0.0,106.0
136,2019-09-21,0.98,122036.47035753199,48980928.4497225,43728.70714212316,75867.03380825819,10712302.843825731,81683279.09136418,289711.3620934779,False,2.0,89.0
